w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,s,2,,,,,,,,,,,,,,,,,,,,,,,w
w,3,1,,,,,,,,,,,,,,,,,,,,,,,w
w,w,w,w,w,w,w,w,w,w,w,w,,,w,w,w,w,w,w,w,w,w,w,w,w
w,e,,,,,,,,,,,,,e,,,,,,,,,,,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,,w
w,E,,,E,,,E,,,,,s,,w,,,,E,,,,w,w,,w
w,,w,w,,w,w,,w,w,,,,w,,,w,,,w,,AssetDatabase.GetAssetPath(s);,,w,,w
w,,w,w,,w,w,,w,w,,,w,,,w,,,w,,,,,w,,w
w,,w,c,,w,w,,c,w,,w,e,,w,,,w,,,,w,,w,,w
w,,w,w,,w,w,,w,w,,w,,,w,E,w,,c,,w,,E,w,,w
w,,w,w,,w,w,,w,w,,w,,w,w,w,w,w,,w,,,,w,,w
w,,w,w,,w,w,,w,w,,w,,,,,,w,w,,,w,,w,,w
w,,w,w,,,,,w,w,,w,,w,w,w,,w,E,,w,,,w,,w
w,,w,w,,w,w,,w,w,,w,,,e,w,,w,w,w,,,w,w,,w
w,,w,w,,w,w,,w,w,w,w,,w,,w,,w,,,,w,e,w,,w
w,,,,,,,,,w,,g,e,,,,,,,e,w,,,w,,w
w,g,w,w,w,w,w,w,w,,,w,g,w,w,w,w,w,w,w,,,,w,,w
w,,c,,,,,,,c,,w,,,,,,,,,,w,,w,,w
w,,,,,,,,,,,w,w,w,w,w,w,w,,,c,w,,w,,w
w,,,,,,,,,,,w,,,,,,,,,,w,,w,,w
w,,,,,E,E,,,,,w,,,,,,,,w,,w,,w,,w
w,,,,,,,,,,,w,,,,,,,,w,,w,,w,,w
w,,,,,,,,,,,w,,,,,,w,w,w,,w,,w,,w
w,,c,,,,,,,c,,w,,E,,,,,,,e,w,,,E,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
